Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDR25,17,Regular,140.090.284,Canned,2.651.884,OUT018,2009,Medium,Tier 3,Supermarket Type2,63.597.216
FDU12,15.5,Regular,76.059.648,Baking Goods,2.651.568,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.092.544
FDV49,10,low fat,25.932.408,Canned,2.647.226,OUT018,2009,Medium,Tier 3,Supermarket Type2,31.718.712
FDK40,7.035,Low Fat,21.938.404,Frozen Foods,264.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.785.802
FDL58,5.78,Regular,74.451.126,Snack Foods,2.645.568,OUT018,2009,Medium,Tier 3,Supermarket Type2,63.277.632
FDB15,10.895,Low Fat,137.368.051,Dairy,2.643.568,OUT018,2009,Medium,Tier 3,Supermarket Type2,47.458.224
NCB31,6.235,Low Fat,119.157.788,Household,263.791,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.103.928
DRF37,17.25,Low Fat,84.676.173,Soft Drinks,263.191,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.944.865
FDS13,6.465,Low Fat,0,Canned,2.631.884,OUT018,2009,Medium,Tier 3,Supermarket Type2,29.148.724
FDF05,17.5,Low Fat,26.980.351,Frozen Foods,262.591,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.207.856
FDJ41,6.85,Low Fat,22.976.497,Frozen Foods,2.616.594,OUT018,2009,Medium,Tier 3,Supermarket Type2,34.015.722
FDF39,14.85,Regular,19.590.769,Dairy,261.591,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.366.919
DRM11,6.57,Low Fat,66.338.717,Hard Drinks,2.614.278,OUT018,2009,Medium,Tier 3,Supermarket Type2,41.652.448
FDY02,8.945,Regular,88.002.959,Dairy,261.391,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.840.937
FDG47,12.8,Low Fat,69.902.438,Starchy Foods,2.613.252,OUT018,2009,Medium,Tier 3,Supermarket Type2,34.102.276
NCS06,7.935,Low Fat,31.866.022,Household,261.291,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.892.901
FDU55,16.2,Low Fat,36.057.562,Fruits and Vegetables,2.603.278,OUT018,2009,Medium,Tier 3,Supermarket Type2,23.429.502
FDT16,9.895,Regular,48.860.587,Frozen Foods,2.602.278,OUT018,2009,Medium,Tier 3,Supermarket Type2,41.652.448
FDC02,21.35,Low Fat,69.102.831,Canned,2.599.278,OUT018,2009,Medium,Tier 3,Supermarket Type2,67.685.228
FDP28,13.65,Regular,80.968.973,Frozen Foods,2.597.936,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.609.936
FDF04,17.5,LF,13.692.598,Frozen Foods,2.597.304,OUT018,2009,Medium,Tier 3,Supermarket Type2,36.166.256
FDA04,11.3,reg,67.001.825,Frozen Foods,2.591.962,OUT018,2009,Medium,Tier 3,Supermarket Type2,54.389.202
FDK28,5.695,Low Fat,65.857.092,Frozen Foods,2.585.646,OUT018,2009,Medium,Tier 3,Supermarket Type2,43.802.982
FDD44,08.05,Regular,78.719.835,Fruits and Vegetables,2.585.646,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.919.752
FDR09,18.25,Low Fat,78.041.216,Snack Foods,2.584.962,OUT018,2009,Medium,Tier 3,Supermarket Type2,28.489.582
FDY55,16.75,Low Fat,8.165.147,Fruits and Vegetables,2.583.988,OUT018,2009,Medium,Tier 3,Supermarket Type2,15.419.928
FDV33,9.6,Regular,27.454.997,Snack Foods,2.581.304,OUT018,2009,Medium,Tier 3,Supermarket Type2,23.249.736
FDK46,9.6,Low Fat,51.677.051,Snack Foods,258.062,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.856.282
FDQ11,5.695,Regular,6.797.671,Breads,2.574.988,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.839.856
FDB52,17.75,Low Fat,30.559.583,Dairy,2.574.672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.835.008
FDL57,15.1,Regular,67.350.054,Snack Foods,2.573.304,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.874.956
FDA27,20.35,Regular,0,Dairy,2.567.672,OUT018,2009,Medium,Tier 3,Supermarket Type2,56.246.784
FDP33,18.7,Low Fat,0,Snack Foods,2.566.672,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.680.064
NCG06,16.35,Low Fat,29.565.309,Household,2.564.646,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.153.292
FDT07,5.82,Regular,77.634.044,Fruits and Vegetables,256.433,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.844.995
NCT05,10.895,LF,21.037.197,Health and Hygiene,2.559.672,OUT018,2009,Medium,Tier 3,Supermarket Type2,48.576.768
